tag,fold,ablation,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_late,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE_balanced,Traj_RMSE_worst,AUPRC,AUROC,Brier,ECE,Coverage_90,Calibration_Error,Physics_Violation_Rate,Traj_CRPS
grouped,0,no_prefix,0.18467386066913605,0.33610638976097107,0.09211113077937955,0.09211113077937955,0.10662180930376053,0.07269297540187836,0.10362214595079422,0.31797969341278076,0.16476493825515112,0.31797969341278076,1.0,1.0,0.0024422279093414545,0.009208678648657891,0.8588336110115051,0.03522160450617473,0.0,0.04894514888098203
grouped,0,no_aux,0.07212118059396744,0.13126054406166077,0.06250220905810748,0.06638901851584093,0.07800592482089996,0.03551092371344566,0.07563535869121552,0.31008464097976685,0.14041030779480934,0.31008464097976685,1.0,1.0,0.0012693258468061686,0.003982197973447548,0.7391776442527771,0.15388278961181642,0.0,0.03521468230347127
grouped,1,full,0.47949105501174927,0.8137540817260742,0.0953916619609235,0.0905656268621214,0.10375209152698517,0.06317668408155441,0.10329084098339081,0.3638339340686798,0.17676715304454169,0.3638339340686798,0.9988465777626105,0.9981100874084573,0.04226626083254814,0.05552499441068563,0.8953233361244202,0.005973871548970518,0.07801418439716312,0.048411879465810916
grouped,1,wo_conformal,0.47949105501174927,0.8137540817260742,0.0953916619609235,0.0905656268621214,0.10375209152698517,0.06317668408155441,0.10329084098339081,0.3638339340686798,0.17676715304454169,0.3638339340686798,0.9988465777626105,0.9981100874084573,0.04226626083254814,0.05552499441068563,0.8179976344108582,0.07884236971537273,0.07801418439716312,0.04845874761287534
grouped,1,gaussian_posterior,0.28654026985168457,0.4862016439437866,0.09305379567965187,0.08891365911219473,0.10690581798553467,0.05058674141764641,0.10652605444192886,0.3593846559524536,0.17216581727067629,0.3593846559524536,0.9998565691336775,0.9997637609260571,0.0441974401473999,0.0647757007538883,0.8990376591682434,0.013683950901031472,0.014184397163120567,0.04309462951309973
grouped,1,wo_ode,0.49835070967674255,0.7632743120193481,0.05798581971584194,0.06434254480352264,0.07540786266326904,0.048782702535390854,0.066196009516716,0.059546470642089844,0.05817506089806557,0.066196009516716,1.0,1.0,0.06448893994092941,0.07526276150801733,0.9569475054740906,0.06264000336329141,0.0,0.03418637173291059
grouped,1,blackbox_raw,0.7717796564102173,1.21651291847229,0.07487002835720077,0.0807800552373887,0.09139494597911835,0.06379669904708862,0.08113642781972885,0.16148258745670319,0.10213857144117355,0.16148258745670319,1.0,1.0,0.043202321976423264,0.0741991894875667,0.95981764793396,0.06483482519785562,1.0,0.04436570554778102
grouped,1,wo_monotone,0.47949105501174927,0.8137540817260742,0.0953916619609235,0.0905656268621214,0.10375209152698517,0.06317668408155441,0.10329084098339081,0.3638339340686798,0.17676715304454169,0.3638339340686798,0.9988465777626105,0.9981100874084573,0.04226626083254814,0.05552499441068563,0.8953233361244202,0.005973871548970518,0.07801418439716312,0.048411879465810916
grouped,1,wo_risk_softauc,0.16471673548221588,0.27587756514549255,0.10923424672902395,0.1101507537228134,0.1324727088212967,0.05001296103000641,0.13476425409317017,0.36095064878463745,0.18190928796927133,0.36095064878463745,0.9970040942041116,0.9950389794472005,0.13575144112110138,0.14450555801419404,0.873881459236145,0.022789704799652106,0.0,0.05122455011776318
grouped,1,wo_censored_nliq,0.27711760997772217,0.46917012333869934,0.08065135407728602,0.0710110698420382,0.08152429014444351,0.05248356983065605,0.08173193037509918,0.35920169949531555,0.16447239990035692,0.35920169949531555,0.9998565691336776,0.9997637609260571,0.009298606775701046,0.017963184921223837,0.920985996723175,0.0233580986658732,0.10638297872340426,0.03719489385323242
